problem,dim,algorithm,runs,best,median,mean,std,worst,mean_error,success_rate,median_evals_to_target,mean_evaluations,mean_seconds
griewank_10d,10,CDA,30,1.1934207500839564,1.6068760240195696,1.7496756753561982,0.5621505395999065,3.77896774732602,1.7496756753561982,0.0,nan,9987.666666666666,0.006535490000078426
griewank_10d,10,CDA (tuned),30,0.07266889577482549,0.6718506921706454,0.6206223223064744,0.2888072134451097,0.9874824598880106,0.6206223223064744,0.0,nan,30000.0,0.01607247996668472
griewank_10d,10,DE,30,7.771561172376096e-16,0.08101751651435485,0.11090156255763367,0.1083122852249271,0.3885124132302965,0.11090156255763367,0.06666666666666667,22225.0,30000.0,0.04486873056666809
griewank_10d,10,GA,30,0.028637152516426845,0.08749815762721513,0.09222935312662607,0.03714164523279117,0.17269460668598913,0.09222935312662607,0.0,nan,30000.0,0.04440537806673698
griewank_10d,10,PSO,30,0.007396040334114895,0.06153625195664386,0.06317877172702682,0.02826242164813523,0.11809110502925535,0.06317877172702682,0.0,nan,30000.0,0.027078543466632254
griewank_10d,10,Random,30,17.035609766052993,37.850979804665315,36.684098597777144,8.358473819896794,54.1110532554919,36.684098597777144,0.0,nan,30000.0,0.019310292166695338
griewank_30d,30,CDA,30,3.839715480155208,9.876751664072632,15.895663500889702,16.22904890133494,74.10671958657612,15.895663500889702,0.0,nan,28702.633333333335,0.03542111066672078
griewank_30d,30,CDA (tuned),30,1.0627086672274657,1.172435427826915,1.4368164669141807,0.5004630105041193,2.9030960344981303,1.4368164669141807,0.0,nan,60000.0,0.07452887833330048
griewank_30d,30,DE,30,8.881784197001252e-16,1.176836406102666e-14,0.0013960186970292,0.0038094548954107337,0.014772407722836944,0.0013960186970292,0.8666666666666667,28500.0,60000.0,0.10558615906675187
griewank_30d,30,GA,30,0.0010265834500434723,0.033569397713060056,0.03769666873587322,0.02891366064664483,0.1079232995818914,0.03769666873587322,0.0,nan,60000.0,0.1242579824666791
griewank_30d,30,PSO,30,0.0,0.008626662470967883,3.0257996828331657,16.516785605456768,90.47638875636301,3.0257996828331657,0.43333333333333335,19200.0,60000.0,0.07662485956670935
