problem,reference,other,median_reference,median_other,u_statistic,p_value,verdict
easom,CDA (paper),DE,-2.2025991280101432e-35,-1.0,900.0,1.2117803970059759e-12,DE better
easom,CDA (paper),GA,-2.2025991280101432e-35,-1.0,896.0,2.6934944417759964e-11,GA better
easom,CDA (paper),PSO,-2.2025991280101432e-35,-1.0,900.0,1.2117803970059759e-12,PSO better
easom,CDA (paper),Random,-2.2025991280101432e-35,-0.13683074799721745,892.0,6.69551896550012e-11,Random better
griewank_10d,CDA (paper),CDA (budgeted),1.6068760240195696,0.6718506921706454,900.0,3.019859359162157e-11,CDA (budgeted) better
griewank_10d,CDA (paper),DE,1.6068760240195696,0.08101751651435485,900.0,3.019859359162157e-11,DE better
griewank_10d,CDA (paper),GA,1.6068760240195696,0.08749815762721513,900.0,3.019859359162157e-11,GA better
griewank_10d,CDA (paper),PSO,1.6068760240195696,0.06153625195664386,900.0,3.0179667984904466e-11,PSO better
griewank_10d,CDA (paper),Random,1.6068760240195696,37.850979804665315,0.0,3.019859359162157e-11,CDA (paper) better
griewank_30d,CDA (paper),CDA (budgeted),9.876751664072632,1.172435427826915,900.0,3.019859359162157e-11,CDA (budgeted) better
griewank_30d,CDA (paper),DE,9.876751664072632,1.176836406102666e-14,900.0,3.008520215091029e-11,DE better
griewank_30d,CDA (paper),GA,9.876751664072632,0.033569397713060056,900.0,3.019859359162157e-11,GA better
griewank_30d,CDA (paper),PSO,9.876751664072632,0.008626662470967883,870.0,4.742984975353501e-10,PSO better
griewank_30d,CDA (paper),Random,9.876751664072632,352.0928150284027,0.0,3.019859359162157e-11,CDA (paper) better
himmelblau,CDA (paper),CDA (budgeted),5.917517049888193e-08,0.0004591672847048371,0.0,3.019859359162157e-11,CDA (paper) better
himmelblau,CDA (paper),DE,5.917517049888193e-08,0.0,900.0,5.203869821751052e-12,DE better
himmelblau,CDA (paper),GA,5.917517049888193e-08,8.529376476758948e-14,640.0,0.005032846859286623,GA better
himmelblau,CDA (paper),PSO,5.917517049888193e-08,4.498257291262565e-20,900.0,3.019859359162157e-11,PSO better
himmelblau,CDA (paper),Random,5.917517049888193e-08,0.023286704590326644,0.0,3.019859359162157e-11,CDA (paper) better
levy_10d,CDA (paper),CDA (budgeted),3.8618348541806813,0.0015936432922800925,891.0,7.389082518022347e-11,CDA (budgeted) better
levy_10d,CDA (paper),DE,3.8618348541806813,2.0273434082162793e-24,900.0,3.019859359162157e-11,DE better
levy_10d,CDA (paper),GA,3.8618348541806813,2.6466116076335718e-05,900.0,3.019859359162157e-11,GA better
levy_10d,CDA (paper),PSO,3.8618348541806813,4.492145214991784e-30,900.0,2.969138405322447e-11,PSO better
levy_10d,CDA (paper),Random,3.8618348541806813,9.063840203139314,50.0,3.4971115177179653e-09,CDA (paper) better
michalewicz_10d,CDA (paper),CDA (budgeted),-5.154534055536313,-7.773588041673909,900.0,3.019859359162157e-11,CDA (budgeted) better
michalewicz_10d,CDA (paper),DE,-5.154534055536313,-8.275968063589108,900.0,3.019859359162157e-11,DE better
michalewicz_10d,CDA (paper),GA,-5.154534055536313,-9.616871302621655,900.0,3.019859359162157e-11,GA better
michalewicz_10d,CDA (paper),PSO,-5.154534055536313,-8.482227259273941,900.0,3.019859359162157e-11,PSO better
michalewicz_10d,CDA (paper),Random,-5.154534055536313,-5.03596104905637,368.0,0.22823006680742364,tie
michalewicz_2d,CDA (paper),CDA (budgeted),-1.8012763419840092,-1.8012560041008898,385.0,0.34028846509891686,tie
michalewicz_2d,CDA (paper),DE,-1.8012763419840092,-1.8013034100985537,900.0,1.2117803970059759e-12,DE better
michalewicz_2d,CDA (paper),GA,-1.8012763419840092,-1.8013034100985534,870.0,4.129911568619482e-10,GA better
michalewicz_2d,CDA (paper),PSO,-1.8012763419840092,-1.8013034100985537,900.0,1.136351019927929e-11,PSO better
michalewicz_2d,CDA (paper),Random,-1.8012763419840092,-1.79509891087609,108.0,4.4440478739951943e-07,CDA (paper) better
paper_f1,CDA (paper),CDA (budgeted),-19.966533861875057,-19.963913634129376,58.0,7.118594879682295e-09,CDA (paper) better
paper_f1,CDA (paper),DE,-19.966533861875057,-19.96668332936563,900.0,1.2117803970059759e-12,DE better
paper_f1,CDA (paper),GA,-19.966533861875057,-19.96668332936563,797.0,1.787625920290189e-07,GA better
paper_f1,CDA (paper),PSO,-19.966533861875057,-19.96668332936063,900.0,3.019859359162157e-11,PSO better
paper_f1,CDA (paper),Random,-19.966533861875057,-19.938939976585495,4.0,4.504322112705282e-11,CDA (paper) better
paper_f2,CDA (paper),CDA (budgeted),-0.24451229774969543,-0.24095027955014459,296.0,0.02324344705367121,CDA (paper) better
paper_f2,CDA (paper),DE,-0.24451229774969543,-0.24740519403861622,900.0,1.2117803970059759e-12,DE better
paper_f2,CDA (paper),GA,-0.24451229774969543,-0.24740519403861622,809.0,7.195957256991265e-08,GA better
paper_f2,CDA (paper),PSO,-0.24451229774969543,-0.24740519403714545,900.0,3.019859359162157e-11,PSO better
paper_f2,CDA (paper),Random,-0.24451229774969543,-0.20035953961886055,55.0,5.4617466566169245e-09,CDA (paper) better
rastrigin_10d,CDA (paper),CDA (budgeted),41.51309199452092,16.92085334549735,897.0,4.0771648468253186e-11,CDA (budgeted) better
rastrigin_10d,CDA (paper),DE,41.51309199452092,20.33546644571866,895.0,4.9751664405934084e-11,DE better
rastrigin_10d,CDA (paper),GA,41.51309199452092,0.003685547368696973,900.0,3.019859359162157e-11,GA better
rastrigin_10d,CDA (paper),PSO,41.51309199452092,4.477313238013572,900.0,2.8954237937874892e-11,PSO better
rastrigin_10d,CDA (paper),Random,41.51309199452092,63.354221947176526,79.0,4.310612299972247e-08,CDA (paper) better
rastrigin_2d,CDA (paper),CDA (budgeted),0.8983331685980573,0.03471472951401111,688.0,0.0004459191206574567,CDA (budgeted) better
rastrigin_2d,CDA (paper),DE,0.8983331685980573,0.0,900.0,1.2117803970059759e-12,DE better
rastrigin_2d,CDA (paper),GA,0.8983331685980573,0.0,879.0,1.3434354934239156e-10,GA better
rastrigin_2d,CDA (paper),PSO,0.8983331685980573,0.0,900.0,1.2117803970059759e-12,PSO better
rastrigin_2d,CDA (paper),Random,0.8983331685980573,0.6340431540380536,453.0,0.9705160513002812,tie
rastrigin_30d,CDA (paper),CDA (budgeted),247.8465435113255,113.93707478005919,900.0,3.019859359162157e-11,CDA (budgeted) better
rastrigin_30d,CDA (paper),DE,247.8465435113255,131.3135262108382,898.0,3.6897258539809896e-11,DE better
rastrigin_30d,CDA (paper),GA,247.8465435113255,0.010537697973433069,900.0,3.019859359162157e-11,GA better
rastrigin_30d,CDA (paper),PSO,247.8465435113255,102.51571676798046,900.0,3.019859359162157e-11,PSO better
rastrigin_30d,CDA (paper),Random,247.8465435113255,329.81646183759744,0.0,3.019859359162157e-11,CDA (paper) better
rosenbrock_10d,CDA (paper),CDA (budgeted),10.936337632858066,7.07424119822889,888.0,9.918628618948002e-11,CDA (budgeted) better
rosenbrock_10d,CDA (paper),DE,10.936337632858066,4.26422363697198,900.0,3.019859359162157e-11,DE better
rosenbrock_10d,CDA (paper),GA,10.936337632858066,7.666588847884809,860.0,1.4109773081080244e-09,GA better
rosenbrock_10d,CDA (paper),PSO,10.936337632858066,1.66408124914838,900.0,3.019859359162157e-11,PSO better
rosenbrock_10d,CDA (paper),Random,10.936337632858066,144.75658891254255,0.0,3.019859359162157e-11,CDA (paper) better
rosenbrock_2d,CDA (paper),CDA (budgeted),1.728140417554467e-05,0.0005962149978493851,104.0,3.2555395233551233e-07,CDA (paper) better
rosenbrock_2d,CDA (paper),DE,1.728140417554467e-05,0.0,900.0,1.2117803970059759e-12,DE better
rosenbrock_2d,CDA (paper),GA,1.728140417554467e-05,0.005313806447750178,72.0,2.3897386921024213e-08,CDA (paper) better
rosenbrock_2d,CDA (paper),PSO,1.728140417554467e-05,3.6050488742715796e-11,900.0,3.019859359162157e-11,PSO better
rosenbrock_2d,CDA (paper),Random,1.728140417554467e-05,0.004855817888653576,29.0,5.072313498155901e-10,CDA (paper) better
rosenbrock_30d,CDA (paper),CDA (budgeted),162.9252824505621,37.900462752124184,886.0,1.2056679006359843e-10,CDA (budgeted) better
rosenbrock_30d,CDA (paper),DE,162.9252824505621,25.5893733591832,900.0,3.019859359162157e-11,DE better
rosenbrock_30d,CDA (paper),GA,162.9252824505621,27.49928957099773,885.0,1.328851208138703e-10,GA better
rosenbrock_30d,CDA (paper),PSO,162.9252824505621,21.282833493643412,896.0,4.504322112705282e-11,PSO better
rosenbrock_30d,CDA (paper),Random,162.9252824505621,2915.7436632094596,0.0,3.019859359162157e-11,CDA (paper) better
schwefel_10d,CDA (paper),CDA (budgeted),1598.270364259711,1011.152876773479,882.0,1.77690788708274e-10,CDA (budgeted) better
schwefel_10d,CDA (paper),DE,1598.270364259711,264.12631266244284,900.0,3.019859359162157e-11,DE better
schwefel_10d,CDA (paper),GA,1598.270364259711,473.7559746962461,900.0,3.019859359162157e-11,GA better
schwefel_10d,CDA (paper),PSO,1598.270364259711,713.6641267109526,894.0,5.42069920168926e-11,PSO better
schwefel_10d,CDA (paper),Random,1598.270364259711,1723.1336334665257,354.0,0.1579756891505133,tie
six_hump_camel,CDA (paper),CDA (budgeted),-1.0316284504709896,-1.0316042848199602,0.0,3.019859359162157e-11,CDA (paper) better
six_hump_camel,CDA (paper),DE,-1.0316284504709896,-1.0316284534898774,nan,1.0,tie
six_hump_camel,CDA (paper),GA,-1.0316284504709896,-1.0316284534898774,678.0,0.0006307704099000937,GA better
six_hump_camel,CDA (paper),PSO,-1.0316284504709896,-1.0316284534898774,nan,1.0,tie
six_hump_camel,CDA (paper),Random,-1.0316284504709896,-1.0298571006544779,0.0,3.019859359162157e-11,CDA (paper) better
sphere_10d,CDA (paper),CDA (budgeted),0.17178264337899618,2.6921820301458502e-05,900.0,3.019859359162157e-11,CDA (budgeted) better
sphere_10d,CDA (paper),DE,0.17178264337899618,2.937378800853803e-25,900.0,3.019859359162157e-11,DE better
sphere_10d,CDA (paper),GA,0.17178264337899618,1.1504339770199772e-05,900.0,3.019859359162157e-11,GA better
sphere_10d,CDA (paper),PSO,0.17178264337899618,0.0,900.0,1.591331959917232e-11,PSO better
sphere_10d,CDA (paper),Random,0.17178264337899618,10.7338740437816,0.0,3.019859359162157e-11,CDA (paper) better
