budget,problem,algorithm,median_error,rank
2000,levy_10d,GA,0.021882464453490815,1
2000,levy_10d,PSO,0.2390530753917203,2
2000,levy_10d,DE,1.7770968331788044,3
2000,levy_10d,CDA (tuned),8.70486598788997,4
2000,levy_10d,CDA,11.80353780590805,5
2000,levy_10d,Random,15.213226057356774,6
5000,sinc_well_2d,GA,0.0,1
5000,sinc_well_2d,DE,7.835510018594505e-12,2
5000,sinc_well_2d,PSO,4.1637573566788433e-07,3
5000,sinc_well_2d,CDA,0.00014946749057287434,4
5000,sinc_well_2d,CDA (tuned),0.005269910547779588,5
5000,sinc_well_2d,Random,0.054429205869269026,6
5000,ripple_cone_2d,GA,0.0,1
5000,ripple_cone_2d,DE,1.1876333250171456e-12,2
5000,ripple_cone_2d,PSO,3.3580854924553094e-07,3
5000,ripple_cone_2d,CDA,0.002892896288920782,4
5000,ripple_cone_2d,CDA (tuned),0.01610382001343838,5
5000,ripple_cone_2d,Random,0.07291252552162258,6
5000,sphere_10d,PSO,3.5750237639557556e-05,1
5000,sphere_10d,GA,0.0004457062932221533,2
5000,sphere_10d,DE,0.0012784418227070602,3
5000,sphere_10d,CDA (tuned),3.935895827719445,4
5000,sphere_10d,CDA,7.013068227658493,5
5000,sphere_10d,Random,15.224852169589923,6
5000,rastrigin_10d,GA,4.226712250730031,1
5000,rastrigin_10d,PSO,12.133428285983499,2
5000,rastrigin_10d,CDA (tuned),27.828663270475218,3
5000,rastrigin_10d,DE,41.05927868172641,4
5000,rastrigin_10d,CDA,41.51309199452092,5
5000,rastrigin_10d,Random,76.8069099325402,6
5000,ackley_10d,PSO,0.059881500074438154,1
5000,ackley_10d,GA,0.14893479295667378,2
5000,ackley_10d,DE,1.0371278180895644,3
5000,ackley_10d,CDA (tuned),8.630293417724362,4
5000,ackley_10d,CDA,14.443423636830804,5
5000,ackley_10d,Random,17.510727339502775,6
5000,rosenbrock_10d,PSO,6.596704420057433,1
5000,rosenbrock_10d,DE,7.090620152461531,2
5000,rosenbrock_10d,GA,8.208310214851213,3
5000,rosenbrock_10d,CDA (tuned),60.18023909239348,4
5000,rosenbrock_10d,CDA,153.5810762452037,5
5000,rosenbrock_10d,Random,232.49131212725203,6
5000,griewank_10d,GA,0.18455241737239214,1
5000,griewank_10d,PSO,0.36135458096186585,2
5000,griewank_10d,DE,0.7544850477690634,3
5000,griewank_10d,CDA (tuned),13.832127894389753,4
5000,griewank_10d,CDA,19.674948589168288,5
5000,griewank_10d,Random,53.26985938485288,6
5000,levy_10d,PSO,0.00023637479790147864,1
5000,levy_10d,GA,0.0007132707475669092,2
5000,levy_10d,DE,0.019590032481763157,3
5000,levy_10d,CDA (tuned),5.096692502702485,4
5000,levy_10d,CDA,7.761752119768694,5
5000,levy_10d,Random,13.406931093818548,6
10000,sinc_well_2d,GA,0.0,1
10000,sinc_well_2d,DE,0.0,2
10000,sinc_well_2d,PSO,4.998668146072305e-12,3
10000,sinc_well_2d,CDA,0.00014946749057287434,4
10000,sinc_well_2d,CDA (tuned),0.002769695236255032,5
10000,sinc_well_2d,Random,0.027743352780136732,6
10000,ripple_cone_2d,GA,0.0,1
10000,ripple_cone_2d,DE,0.0,2
10000,ripple_cone_2d,PSO,1.4707679518721761e-12,3
10000,ripple_cone_2d,CDA,0.002892896288920782,4
10000,ripple_cone_2d,CDA (tuned),0.00645491448847163,5
10000,ripple_cone_2d,Random,0.04704565441975567,6
10000,sphere_10d,PSO,2.0218280621887553e-10,1
10000,sphere_10d,DE,7.851238359003317e-08,2
10000,sphere_10d,GA,6.733244440146314e-05,3
10000,sphere_10d,CDA,0.2612017452477005,4
10000,sphere_10d,CDA (tuned),0.5731130116937935,5
10000,sphere_10d,Random,13.137766029612761,6
10000,rastrigin_10d,GA,0.732634859685426,1
10000,rastrigin_10d,PSO,5.975294793553431,2
10000,rastrigin_10d,CDA (tuned),24.036116982852192,3
10000,rastrigin_10d,DE,33.755292771007156,4
10000,rastrigin_10d,CDA,41.51309199452092,5
10000,rastrigin_10d,Random,72.15565005689999,6
10000,ackley_10d,PSO,0.0001085272121401637,1
10000,ackley_10d,DE,0.003017355856736348,2
10000,ackley_10d,GA,0.03369784717713786,3
10000,ackley_10d,CDA (tuned),4.65873445760916,4
10000,ackley_10d,CDA,14.443423636830804,5
10000,ackley_10d,Random,17.116848658037558,6
10000,rosenbrock_10d,PSO,4.961691154311207,1
10000,rosenbrock_10d,DE,5.30772152790245,2
10000,rosenbrock_10d,GA,7.914183782369742,3
10000,rosenbrock_10d,CDA (tuned),17.086711760812463,4
10000,rosenbrock_10d,CDA,29.97195251028576,5
10000,rosenbrock_10d,Random,188.3693375014722,6
10000,griewank_10d,PSO,0.07696277027760029,1
10000,griewank_10d,GA,0.12605816733409453,2
10000,griewank_10d,DE,0.5030233812823479,3
10000,griewank_10d,CDA,2.6252968605744695,4
10000,griewank_10d,CDA (tuned),3.192675310121916,5
10000,griewank_10d,Random,46.10173690909802,6
10000,levy_10d,PSO,1.1469978951984984e-09,1
10000,levy_10d,DE,7.073335817049276e-07,2
10000,levy_10d,GA,0.00030131939689593016,3
10000,levy_10d,CDA (tuned),2.2639654838759125,4
10000,levy_10d,CDA,3.8618348541806813,5
10000,levy_10d,Random,10.941024967891684,6
