algorithm,problem,dim,seed,best_value,error,evaluations,iterations,evals_to_target,success,stop_reason,seconds
GA,paper_f1,2,12,-19.96668332936563,0.0,10000,199,900,True,budget_exhausted,0.009970861000510922
GA,paper_f1,2,13,-19.96668332936563,0.0,10000,199,850,True,budget_exhausted,0.010298577999492409
GA,paper_f1,2,14,-19.96668332936561,2.1316282072803006e-14,10000,199,850,True,budget_exhausted,0.010385176000454521
GA,paper_f1,2,15,-19.96668332936563,0.0,10000,199,850,True,budget_exhausted,0.01035078900076769
GA,paper_f1,2,16,-19.966043790937338,0.000639538428291786,10000,199,,False,budget_exhausted,0.010493408000002091
GA,paper_f1,2,17,-19.96668332936563,0.0,10000,199,850,True,budget_exhausted,0.01051039799949649
GA,paper_f1,2,18,-19.96668332936563,0.0,10000,199,800,True,budget_exhausted,0.010499672999685572
GA,paper_f1,2,19,-19.96668332936563,0.0,10000,199,850,True,budget_exhausted,0.010405205999632017
GA,paper_f1,2,20,-19.96668332936563,0.0,10000,199,700,True,budget_exhausted,0.010496011000213912
GA,paper_f1,2,21,-19.96668332936563,0.0,10000,199,1000,True,budget_exhausted,0.010391555000751396
GA,paper_f1,2,22,-19.96668332936563,0.0,10000,199,900,True,budget_exhausted,0.01027133500065247
GA,paper_f1,2,23,-19.96668332936563,0.0,10000,199,950,True,budget_exhausted,0.010209167999164492
GA,paper_f1,2,24,-19.966682487517076,8.418485535344189e-07,10000,199,1000,True,budget_exhausted,0.010389555000074324
GA,paper_f1,2,25,-19.96668332936563,0.0,10000,199,950,True,budget_exhausted,0.010326902000088012
GA,paper_f1,2,26,-19.96568694605921,0.0009963833064183802,10000,199,,False,budget_exhausted,0.010524127000280714
GA,paper_f1,2,27,-19.96668332936563,0.0,10000,199,1050,True,budget_exhausted,0.010641689999829396
GA,paper_f1,2,28,-19.966683291024836,3.834079365105936e-08,10000,199,1000,True,budget_exhausted,0.010643861000062316
GA,paper_f1,2,29,-19.96668332936563,0.0,10000,199,900,True,budget_exhausted,0.01036055300028238
DE,paper_f1,2,0,-19.96668332936563,0.0,10000,199,1850,True,budget_exhausted,0.012255954000465863
DE,paper_f1,2,1,-19.96668332936563,0.0,10000,199,1650,True,budget_exhausted,0.012373775999549252
DE,paper_f1,2,2,-19.96668332936563,0.0,10000,199,1850,True,budget_exhausted,0.012179102000118291
DE,paper_f1,2,3,-19.96668332936563,0.0,10000,199,1700,True,budget_exhausted,0.012085938000382157
DE,paper_f1,2,4,-19.96668332936563,0.0,10000,199,1700,True,budget_exhausted,0.012295162000555138
DE,paper_f1,2,5,-19.96668332936563,0.0,10000,199,1850,True,budget_exhausted,0.012119062999772723
DE,paper_f1,2,6,-19.96668332936563,0.0,10000,199,1750,True,budget_exhausted,0.012208703999931458
DE,paper_f1,2,7,-19.96668332936563,0.0,10000,199,1850,True,budget_exhausted,0.01230966100047226
DE,paper_f1,2,8,-19.96668332936563,0.0,10000,199,1850,True,budget_exhausted,0.012379953999698046
DE,paper_f1,2,9,-19.96668332936563,0.0,10000,199,1600,True,budget_exhausted,0.01203419000012218
DE,paper_f1,2,10,-19.96668332936563,0.0,10000,199,1600,True,budget_exhausted,0.012089060999642243
DE,paper_f1,2,11,-19.96668332936563,0.0,10000,199,1750,True,budget_exhausted,0.012074162000317301
DE,paper_f1,2,12,-19.96668332936563,0.0,10000,199,1550,True,budget_exhausted,0.011829335000584251
DE,paper_f1,2,13,-19.96668332936563,0.0,10000,199,1700,True,budget_exhausted,0.011888488000295183
DE,paper_f1,2,14,-19.96668332936563,0.0,10000,199,1850,True,budget_exhausted,0.011824472000625974
DE,paper_f1,2,15,-19.96668332936563,0.0,10000,199,1550,True,budget_exhausted,0.011908331000086037
DE,paper_f1,2,16,-19.96668332936563,0.0,10000,199,1450,True,budget_exhausted,0.012158046999502403
DE,paper_f1,2,17,-19.96668332936563,0.0,10000,199,1750,True,budget_exhausted,0.011917908000214084
DE,paper_f1,2,18,-19.96668332936563,0.0,10000,199,1850,True,budget_exhausted,0.012184401999547845
DE,paper_f1,2,19,-19.96668332936563,0.0,10000,199,1850,True,budget_exhausted,0.0123385650003911
DE,paper_f1,2,20,-19.96668332936563,0.0,10000,199,1900,True,budget_exhausted,0.012031844000375713
DE,paper_f1,2,21,-19.96668332936563,0.0,10000,199,1450,True,budget_exhausted,0.011782970999774989
DE,paper_f1,2,22,-19.96668332936563,0.0,10000,199,1700,True,budget_exhausted,0.011888089000422042
DE,paper_f1,2,23,-19.96668332936563,0.0,10000,199,1900,True,budget_exhausted,0.014387125999746786
DE,paper_f1,2,24,-19.96668332936563,0.0,10000,199,1600,True,budget_exhausted,0.015325126000789169
DE,paper_f1,2,25,-19.96668332936563,0.0,10000,199,1700,True,budget_exhausted,0.012184581999463262
DE,paper_f1,2,26,-19.96668332936563,0.0,10000,199,1700,True,budget_exhausted,0.013514979999854404
DE,paper_f1,2,27,-19.96668332936563,0.0,10000,199,1550,True,budget_exhausted,0.01179475699973409
DE,paper_f1,2,28,-19.96668332936563,0.0,10000,199,1800,True,budget_exhausted,0.012060994999956165
DE,paper_f1,2,29,-19.96668332936563,0.0,10000,199,2000,True,budget_exhausted,0.011993592000180797
Random,paper_f1,2,0,-19.927129894735092,0.03955343463053751,10000,200,,False,budget_exhausted,0.0038622459996986436
Random,paper_f1,2,1,-19.943600252787597,0.023083076578032546,10000,200,,False,budget_exhausted,0.0038110579998829053
Random,paper_f1,2,2,-19.89933172889038,0.06735160047524857,10000,200,,False,budget_exhausted,0.0038824120001663687
Random,paper_f1,2,3,-19.88502436222906,0.08165896713656906,10000,200,,False,budget_exhausted,0.0038162480004757526
Random,paper_f1,2,4,-19.910671351433905,0.056011977931724743,10000,200,,False,budget_exhausted,0.0037772040004711016
Random,paper_f1,2,5,-19.96216776134968,0.004515568015950322,10000,200,,False,budget_exhausted,0.0038123009999253554
Random,paper_f1,2,6,-19.946488253813893,0.020195075551736608,10000,200,,False,budget_exhausted,0.0038635299997622496
Random,paper_f1,2,7,-19.95285560463203,0.013827724733598501,10000,200,,False,budget_exhausted,0.003932800999791652
Random,paper_f1,2,8,-19.91455049783067,0.05213283153495851,10000,200,,False,budget_exhausted,0.003826002000096196
Random,paper_f1,2,9,-19.93586356913069,0.03081976023494093,10000,200,,False,budget_exhausted,0.003797368000050483
Random,paper_f1,2,10,-19.93623566071708,0.030447668648548643,10000,200,,False,budget_exhausted,0.0037207589994068258
Random,paper_f1,2,11,-19.888174552886674,0.07850877647895516,10000,200,,False,budget_exhausted,0.0037584889996651327
Random,paper_f1,2,12,-19.884632960641643,0.08205036872398708,10000,200,,False,budget_exhausted,0.004912372000035248
Random,paper_f1,2,13,-19.95674417367227,0.00993915569335968,10000,200,,False,budget_exhausted,0.003770133999751124
Random,paper_f1,2,14,-19.960701858314895,0.005981471050734655,10000,200,,False,budget_exhausted,0.0037720880000051693
Random,paper_f1,2,15,-19.941019987867495,0.02566334149813443,10000,200,,False,budget_exhausted,0.0037001660002715653
Random,paper_f1,2,16,-19.960599447365947,0.006083881999682461,10000,200,,False,budget_exhausted,0.0038335720000759466
Random,paper_f1,2,17,-19.944564092709793,0.02211923665583626,10000,200,,False,budget_exhausted,0.0038757530001021223
Random,paper_f1,2,18,-19.93765676667767,0.029026562687960222,10000,200,,False,budget_exhausted,0.00379674400028307
Random,paper_f1,2,19,-19.959356825258983,0.007326504106647036,10000,200,,False,budget_exhausted,0.00383439899997029
Random,paper_f1,2,20,-19.940223186493316,0.02646014287231324,10000,200,,False,budget_exhausted,0.0037904490000073565
Random,paper_f1,2,21,-19.945687081304413,0.02099624806121625,10000,200,,False,budget_exhausted,0.0038148280000314116
Random,paper_f1,2,22,-19.87719324351735,0.08949008584827922,10000,200,,False,budget_exhausted,0.003801049999310635
Random,paper_f1,2,23,-19.941379981303665,0.025303348061964215,10000,200,,False,budget_exhausted,0.0037542279997069272
Random,paper_f1,2,24,-19.92076749385985,0.04591583550578093,10000,200,,False,budget_exhausted,0.0037305279993233853
Random,paper_f1,2,25,-19.952700701212805,0.013982628152824361,10000,200,,False,budget_exhausted,0.0038236809996305965
Random,paper_f1,2,26,-19.792203633247524,0.1744796961181052,10000,200,,False,budget_exhausted,0.0037771790002807393
Random,paper_f1,2,27,-19.923438983347058,0.04324434601857163,10000,200,,False,budget_exhausted,0.003731580000021495
Random,paper_f1,2,28,-19.89756495933252,0.0691183700331095,10000,200,,False,budget_exhausted,0.0037463170001501567
Random,paper_f1,2,29,-19.94808068772474,0.018602641640889317,10000,200,,False,budget_exhausted,0.003742480999790132
CDA (paper),paper_f2,2,0,-0.24220460453860337,0.005200589500012842,1993,21,,False,extinction,0.0017104230000768439
CDA (paper),paper_f2,2,1,-0.24452819783044144,0.0028769962081747757,1248,9,,False,extinction,0.0008157799993568915
CDA (paper),paper_f2,2,2,-0.24691069446442743,0.0004944995741887892,2363,23,,False,extinction,0.0017860640000435524
CDA (paper),paper_f2,2,3,-0.24582651452857723,0.0015786795100389828,3914,12,,False,extinction,0.0012937989995407406
